ID,Energieverbruikers,Perioden,Energie_1,SteenkoolEnBruinkool_2,Steenkoolcokes_3,Cokesovengas_4,Hoogovengas_5,OverigeSteenkoolderivaten_6,RuweAardolie_7,Aardgascondensaat_8,OverigeAardoliegrondstoffen_9,Lpg_10,Nafta_11,Benzine_12,Kerosine_13,GasolieEnLichteStookolie_14,Autodiesel_15,Stookolie_16,Restgas_17,Smeermiddelen_18,Bitumen_19,OverigeOlieproducten_20,Aardgas_21,HernieuwbareEnergie_22,Elektriciteit_23,StoomEnOfWarmWater_24,AnderePrimaireEnergiebronnen_25,OmzettingVerliezen_26
114,307500,1994JJ00,1181.0,20.0,42.0,11.0,9.0,,,,,48.0,97.0,2.0,0.0,3.0,14.0,31.0,132.0,3.0,,93.0,309.0,2.0,130.0,163.0,3.0,70.0
115,307500,1995JJ00,1209.0,18.0,46.0,11.0,10.0,,,,0.0,51.0,120.0,2.0,0.0,2.0,14.0,29.0,130.0,2.0,,70.0,316.0,3.0,134.0,168.0,4.0,80.0
116,307500,1996JJ00,1197.0,21.0,43.0,10.0,10.0,,,,1.0,43.0,108.0,2.0,0.0,2.0,15.0,29.0,131.0,2.0,,66.0,318.0,3.0,137.0,174.0,4.0,78.0
117,307500,1997JJ00,1219.0,26.0,43.0,11.0,9.0,,,,,58.0,98.0,2.0,0.0,1.0,13.0,17.0,120.0,2.0,,83.0,322.0,3.0,140.0,171.0,4.0,94.0
118,307500,1998JJ00,1218.0,25.0,39.0,9.0,9.0,,,,0.0,61.0,100.0,2.0,0.0,2.0,13.0,16.0,114.0,3.0,,80.0,315.0,3.0,144.0,175.0,4.0,105.0
119,307500,1999JJ00,1241.0,25.0,38.0,7.0,8.0,3.0,,,0.0,60.0,115.0,2.0,0.0,2.0,14.0,15.0,119.0,3.0,,86.0,314.0,3.0,146.0,186.0,3.0,93.0
120,307500,2000JJ00,1267.0,21.0,35.0,6.0,9.0,2.0,,,0.0,65.0,131.0,2.0,1.0,2.0,14.0,13.0,122.0,2.0,,96.0,307.0,3.0,148.0,176.0,3.0,108.0
121,307500,2001JJ00,1276.0,24.0,36.0,6.0,9.0,2.0,,,0.0,59.0,147.0,2.0,0.0,2.0,14.0,15.0,129.0,2.0,,91.0,282.0,3.0,149.0,181.0,2.0,119.0
122,307500,2002JJ00,1276.0,25.0,37.0,6.0,10.0,2.0,,,1.0,66.0,144.0,2.0,0.0,1.0,15.0,11.0,142.0,2.0,,85.0,280.0,3.0,151.0,180.0,3.0,112.0
123,307500,2003JJ00,1331.0,26.0,39.0,6.0,10.0,3.0,,,1.0,67.0,179.0,2.0,0.0,1.0,15.0,10.0,154.0,2.0,,94.0,274.0,3.0,148.0,182.0,3.0,112.0
