ID,RegioS,InwonersVan15Tot65Jaar_1,InwonersTot18Jaar_2,TotaalParticuliereHuishoudens_3,TotaalMetThuiswonendeKinderen_4,MetThuiswondenKinderen0Tot18Jaar_5,Eenouderhuishoudens2OfMeerKinderen_6,Gemiddelde20162018_7,k_31122018_8,k_31122017_9,k_31122016_10,Gemiddelde20162018_11,k_31122018_12,k_31122017_13,k_31122016_14,HuishoudensMetInkomen_15,GemiddeldGestandaardiseerdInkomen_16,TotaalHuishoudensMetKinderen_17,GemiddeldGestandaardiseerdInkomen_18,TotaalMinderjarigeKinderen_19,InHuishoudensTot120SociaalMinimum_20,InHuishoudensMetLaagInkomen_21,TotaalBeroepsbevolking_22,LagerOpgeleiden_23,LagerOpgeleidenPercentage_24,InwonersDoelpopulatie31122017_25,PersonenMetBijstand31122018_26,WajongUitkeringen31122017_27,InstroomWerkregelingWajong20122014_28,InstroomWachtlijstWSW20122014_29,InstroomWajongExclWSW20122014_30,PersonenMetLoonkostensubs31122018_31,PsychischMedicijngebruikOuders2018_32
283,GM0716,16170,6120,10440,3990,2920,230,90,90,90,100,100,100,110,110,10400,23800,3900,25200,5800,500,600,14,3,19,2570,385,250,20,40,20,10,320
284,GM0281,27960,8910,18560,6670,4690,570,270,260,270,280,350,320,360,380,18100,23800,6700,24300,8800,1400,1300,22,5,23,5160,1362,750,80,170,80,60,440
285,GM0855,148620,42160,107300,30860,22400,3120,1940,1820,1930,2070,2150,2000,2170,2280,105300,21400,29400,24400,37900,6400,5800,117,17,15,25820,8078,3170,210,590,200,250,1940
286,GM0183,13760,4900,8090,3570,2330,180,20,20,30,20,40,40,40,40,8000,25300,3500,27100,4900,300,300,11,2,22,1430,178,220,10,10,10,10,130
287,GM1700,21290,8170,13140,5620,3920,340,150,150,160,160,170,160,180,180,13200,22700,5500,23400,7800,700,800,18,4,25,3480,598,590,50,50,40,60,370
288,GM1730,19870,7460,14210,5130,3860,330,100,100,100,100,130,130,140,130,14600,26700,4900,28400,6700,500,400,17,2,10,3020,620,570,40,30,40,20,270
289,GM0737,19230,6910,13450,4760,3440,310,120,110,120,120,150,140,150,150,13700,23400,4700,24400,6500,600,600,16,3,19,3360,721,480,40,20,40,40,370
290,GM0856,26420,8610,18490,6420,4530,530,190,170,190,200,210,200,220,220,18100,25200,6300,26400,8200,900,800,22,4,20,3930,756,610,60,150,60,50,400
291,GM0450,8850,3010,5620,2300,1640,160,40,40,50,50,60,60,50,60,5500,27600,2200,28500,2900,200,200,8,1,14,950,191,120,20,10,20,0,120
292,GM0451,19110,6410,12790,5060,3570,460,100,90,100,100,130,120,140,130,12700,27100,4800,28300,6100,700,600,15,2,14,2360,362,310,30,20,30,20,250
293,GM0184,12930,7340,6220,3580,2800,130,30,30,40,40,60,60,60,70,6000,23700,3300,24100,6600,300,500,11,3,23,1950,159,260,20,10,20,20,150
294,GM0344,256220,73610,180370,47720,38350,3940,2240,2200,2220,2290,2860,2760,2860,2960,172000,22800,43600,27700,64200,9200,8900,198,14,7,39210,11984,3860,440,300,430,100,3680
295,GM1581,29580,10590,21510,7100,5200,450,110,100,100,120,160,160,160,170,22100,28800,6700,32200,9400,700,700,24,3,11,4920,846,890,40,20,40,30,440
296,GM0981,6300,1430,5470,1160,770,90,70,70,70,70,70,70,70,80,4800,21900,1200,22700,1000,200,200,4,1,23,1990,333,120,10,10,10,10,40
297,GM0994,9910,2510,7900,2210,1390,160,60,60,50,60,70,60,70,70,8100,24600,2300,27700,2400,300,300,7,1,13,1640,351,210,30,10,30,10,120
