ID,Klimaatsectoren,EmissiesNaarLucht,Perioden,EmissieBroeikasgassen_1
273,A025447  ,A044110  ,2018JJ00,7.5
274,A025447  ,A044110  ,2019JJ00,7.4
275,A025447  ,A044110  ,2020JJ00,7.2
276,A025447  ,A044110  ,2021JJ00,6.9
277,A025447  ,A044110  ,2022JJ00,6.4
278,A025447  ,A044110  ,2023JJ00,6.3
279,A025447  ,A044110  ,2024JJ00,6.3
280,A025447  ,A044107  ,1990JJ00,36.3
281,A025447  ,A044107  ,1991JJ00,36.8
282,A025447  ,A044107  ,1992JJ00,36.4
283,A025447  ,A044107  ,1993JJ00,35.9
284,A025447  ,A044107  ,1994JJ00,34.7
285,A025447  ,A044107  ,1995JJ00,33.9
286,A025447  ,A044107  ,1996JJ00,33.1
287,A025447  ,A044107  ,1997JJ00,31.3
288,A025447  ,A044107  ,1998JJ00,30.5
289,A025447  ,A044107  ,1999JJ00,29.0
290,A025447  ,A044107  ,2000JJ00,27.8
291,A025447  ,A044107  ,2001JJ00,27.1
292,A025447  ,A044107  ,2002JJ00,25.8
293,A025447  ,A044107  ,2003JJ00,24.9
294,A025447  ,A044107  ,2004JJ00,24.5
295,A025447  ,A044107  ,2005JJ00,22.9
296,A025447  ,A044107  ,2006JJ00,22.4
297,A025447  ,A044107  ,2007JJ00,22.4
298,A025447  ,A044107  ,2008JJ00,22.6
299,A025447  ,A044107  ,2009JJ00,22.4
300,A025447  ,A044107  ,2010JJ00,22.3
301,A025447  ,A044107  ,2011JJ00,21.7
302,A025447  ,A044107  ,2012JJ00,21.2
303,A025447  ,A044107  ,2013JJ00,21.2
304,A025447  ,A044107  ,2014JJ00,20.7
305,A025447  ,A044107  ,2015JJ00,21.0
306,A025447  ,A044107  ,2016JJ00,21.1
307,A025447  ,A044107  ,2017JJ00,20.7
308,A025447  ,A044107  ,2018JJ00,20.1
309,A025447  ,A044107  ,2019JJ00,19.9
310,A025447  ,A044107  ,2020JJ00,19.6
311,A025447  ,A044107  ,2021JJ00,19.3
312,A025447  ,A044107  ,2022JJ00,18.7
313,A025447  ,A044107  ,2023JJ00,18.6
314,A025447  ,A044107  ,2024JJ00,18.2
315,A025447  ,A052484  ,1990JJ00,7.3
316,A025447  ,A052484  ,1991JJ00,6.2
317,A025447  ,A052484  ,1992JJ00,7.0
318,A025447  ,A052484  ,1993JJ00,7.6
319,A025447  ,A052484  ,1994JJ00,9.1
320,A025447  ,A052484  ,1995JJ00,8.7
321,A025447  ,A052484  ,1996JJ00,10.6
322,A025447  ,A052484  ,1997JJ00,11.4
323,A025447  ,A052484  ,1998JJ00,11.9
324,A025447  ,A052484  ,1999JJ00,6.8
325,A025447  ,A052484  ,2000JJ00,5.9
326,A025447  ,A052484  ,2001JJ00,3.4
327,A025447  ,A052484  ,2002JJ00,3.8
328,A025447  ,A052484  ,2003JJ00,2.0
329,A025447  ,A052484  ,2004JJ00,1.7
330,A025447  ,A052484  ,2005JJ00,1.5
331,A025447  ,A052484  ,2006JJ00,1.6
332,A025447  ,A052484  ,2007JJ00,1.7
333,A025447  ,A052484  ,2008JJ00,1.7
334,A025447  ,A052484  ,2009JJ00,1.8
335,A025447  ,A052484  ,2010JJ00,2.0
336,A025447  ,A052484  ,2011JJ00,1.7
337,A025447  ,A052484  ,2012JJ00,1.7
338,A025447  ,A052484  ,2013JJ00,1.8
339,A025447  ,A052484  ,2014JJ00,1.4
340,A025447  ,A052484  ,2015JJ00,1.5
341,A025447  ,A052484  ,2016JJ00,1.4
342,A025447  ,A052484  ,2017JJ00,1.4
343,A025447  ,A052484  ,2018JJ00,1.2
344,A025447  ,A052484  ,2019JJ00,1.2
345,A025447  ,A052484  ,2020JJ00,0.9
346,A025447  ,A052484  ,2021JJ00,1.1
347,A025447  ,A052484  ,2022JJ00,0.9
348,A025447  ,A052484  ,2023JJ00,0.8
349,A025447  ,A052484  ,2024JJ00,0.8
350,A050124  ,T001372  ,1990JJ00,39.6
351,A050124  ,T001372  ,1991JJ00,40.1
352,A050124  ,T001372  ,1992JJ00,40.6
