ID,Slachtdieren,Perioden,AantalSlachtingen_1,GeslachtGewicht_2
632,A048695,2002MM11,60.2,18379.0
633,A048695,2002MM12,50.0,15616.0
634,A048695,2002JJ00,662.2,206728.0
635,A048695,2003MM01,56.9,17696.0
636,A048695,2003MM02,46.0,14166.0
637,A048695,2003MM03,43.9,13762.0
638,A048695,2003MM04,43.7,13867.0
639,A048695,2003MM05,43.4,13963.0
640,A048695,2003MM06,36.6,11625.0
641,A048695,2003MM07,37.6,11677.0
642,A048695,2003MM08,43.5,13223.0
643,A048695,2003MM09,50.8,15359.0
644,A048695,2003MM10,63.3,19028.0
645,A048695,2003MM11,57.9,17322.0
646,A048695,2003MM12,56.2,17034.0
647,A048695,2003JJ00,579.8,178722.0
