ID,Periods,PriceIndices_1,ChangesComparedToOneYearEarlier_2,PriceIndices_3,ChangesComparedToOneYearEarlier_4,PriceIndices_5,ChangesComparedToOneYearEarlier_6
357,2017MM07,145.6,1.9,151.2,1.3,142.7,3.0
358,2017MM08,146.7,2.5,152.4,2.1,143.7,3.6
359,2017MM09,146.7,2.7,152.4,2.0,143.8,3.9
360,2017MM10,147.1,2.6,152.4,2.0,144.6,4.0
361,2017MM11,147.6,2.7,152.4,2.0,145.6,4.3
362,2017MM12,147.0,2.2,152.4,2.0,144.4,3.3
363,2017JJ00,146.0,2.3,151.4,2.0,142.8,3.0
364,2018MM01,148.2,2.5,153.6,2.0,145.7,3.8
365,2018MM02,148.4,2.5,153.6,2.0,146.0,3.8
366,2018MM03,148.0,2.1,153.6,2.0,145.3,3.1
367,2018MM04,148.4,2.0,153.6,2.0,146.1,2.9
368,2018MM05,148.6,2.3,153.6,2.1,146.5,3.2
369,2018MM06,149.0,2.4,153.6,2.1,147.2,3.3
370,2018MM07,149.8,2.9,155.1,2.6,147.4,3.3
371,2018MM08,150.8,2.8,156.9,2.9,147.7,2.8
372,2018MM09,151.4,3.2,156.9,2.9,148.9,3.5
373,2018MM10,151.0,2.7,157.0,3.0,148.0,2.4
374,2018MM11,150.8,2.2,157.0,3.0,147.7,1.4
375,2018MM12,151.2,2.9,157.0,3.0,148.5,2.9
376,2018JJ00,149.6,2.5,155.1,2.5,147.1,3.0
377,2019MM01,152.6,3.0,157.3,2.4,150.9,3.6
378,2019MM02,152.6,2.8,157.3,2.4,150.9,3.3
379,2019MM03,152.8,3.2,157.3,2.4,151.3,4.1
380,2019MM04,152.9,3.0,157.4,2.4,151.4,3.6
381,2019MM05,153.0,3.0,157.4,2.4,151.6,3.5
382,2019MM06,153.2,2.8,157.8,2.7,151.5,2.9
383,2019MM07,154.9,3.4,160.6,3.5,152.3,3.4
384,2019MM08,154.5,2.5,160.6,2.4,151.5,2.5
385,2019MM09,154.7,2.2,160.6,2.4,151.8,2.0
386,2019MM10,154.6,2.4,160.6,2.3,151.7,2.5
387,2019MM11,154.6,2.5,160.6,2.3,151.7,2.7
388,2019MM12,155.7,3.0,163.1,3.9,151.6,2.1
389,2019JJ00,153.8,2.8,159.2,2.6,151.5,3.0
390,2020MM01,156.9,2.8,164.1,4.3,153.0,1.4
391,2020MM02,156.9,2.8,164.1,4.3,153.0,1.4
392,2020MM03,156.9,2.7,164.1,4.3,152.9,1.1
393,2020MM04,156.2,2.1,164.1,4.3,151.6,0.1
394,2020MM05,156.1,2.0,164.2,4.3,151.3,-0.2
395,2020MM06,156.2,2.0,164.3,4.2,151.3,-0.1
396,2020MM07,157.6,1.7,167.0,4.0,151.6,-0.5
397,2020MM08,158.0,2.3,167.0,4.0,152.4,0.6
398,2020MM09,157.7,2.0,167.0,4.0,151.9,0.1
399,2020MM10,157.5,1.9,167.0,4.0,151.5,-0.2
400,2020MM11,157.7,2.0,167.0,4.0,151.9,0.1
401,2020MM12,159.0,2.1,168.5,3.3,153.0,1.0
402,2020JJ00,157.2,2.2,165.7,4.1,152.1,0.4
403,2021MM01,160.1,2.1,167.7,2.2,155.9,1.9
404,2021MM02,160.2,2.1,167.7,2.2,156.0,2.0
405,2021MM03,160.6,2.4,168.4,2.6,156.2,2.1
406,2021MM04,161.8,3.6,168.4,2.6,158.5,4.6
407,2021MM05,162.9,4.4,168.4,2.5,160.7,6.2
408,2021MM06,164.2,5.2,168.4,2.4,163.2,7.9
409,2021MM07,166.1,5.4,168.4,0.8,166.9,10.1
410,2021MM08,165.9,5.0,166.6,-0.2,168.0,10.2
411,2021MM09,166.2,5.4,166.6,-0.2,168.7,11.1
412,2021MM10,167.4,6.3,167.2,0.1,170.5,12.5
413,2021MM11,167.6,6.3,167.2,0.1,170.9,12.5
414,2021MM12,168.0,5.6,167.2,-0.8,171.6,12.1
415,2021JJ00,164.3,4.5,167.7,1.2,163.9,7.8
416,2022MM01,172.1,7.5,171.2,2.1,175.8,12.8
417,2022MM02,173.0,8.0,171.2,2.1,177.5,13.8
418,2022MM03,175.9,9.6,171.3,1.7,183.1,17.3
419,2022MM04,179.0,10.6,172.0,2.1,188.4,18.9
420,2022MM05,179.9,10.4,172.0,2.1,190.2,18.4
421,2022MM06,179.1,9.1,172.0,2.1,188.7,15.6
422,2022MM07,180.6,8.7,172.1,2.2,191.4,14.7
423,2022MM08,180.8,9.0,172.1,3.3,191.8,14.2
424,2022MM09,182.1,9.5,174.2,4.6,192.4,14.0
425,2022MM10,182.7,9.1,174.2,4.2,193.5,13.5
426,2022MM11,182.3,8.8,174.2,4.2,192.8,12.8
427,2022MM12,182.2,8.5,174.2,4.2,192.6,12.3
428,2022JJ00,179.1,9.1,172.6,2.9,188.2,14.8
429,2023MM01,187.1,8.7,176.7,3.2,199.7,13.6
430,2023MM02,187.7,8.5,176.7,3.2,200.8,13.1
431,2023MM03,189.0,7.4,179.3,4.7,200.9,9.7
432,2023MM04,189.7,6.0,179.5,4.4,202.1,7.3
433,2023MM05,189.8,5.5,179.5,4.4,202.4,6.4
434,2023MM06,189.7,5.9,179.5,4.4,202.2,7.1
435,2023MM07,190.0,5.2,181.7,5.5,200.9,4.9
436,2023MM08,189.5,4.8,181.7,5.5,199.8,4.2
437,2023MM09,189.5,4.1,181.7,4.2,199.9,3.9
438,2023MM10,189.4,3.7,181.7,4.2,199.7,3.2
439,2023MM11,189.1,3.7,181.7,4.2,199.2,3.3
440,2023MM12,189.3,3.9,181.7,4.2,199.5,3.6
441,2023JJ00,189.2,5.6,180.1,4.4,200.6,6.6
