ID,BedrijfstakkenBranches,Seizoencorrectie,Perioden,ProductieBedrAfgelopen3Mnd_1,ProductieBedrKomende3Mnd_2,OmzetAfgelopen3Mnd_3,OmzetKomende3Mnd_4,BuitenlandseOmzetAfgelopen3Mnd_5,BuitenlandseOmzetKomende3Mnd_6,VerkoopprijzenTarievenKomende3Mnd_7,PersoneelssterkteAfgelopen3Mnd_8,PersoneelssterkteKomende3Mnd_9,EconomischKlimaatAfgelopen3Mnd_10,WinstgevendheidAfgelopen3Mnd_11
148,305700,A042500,2016KW04,-26.3,-23.3,-12.2,0.6,-35.1,-17.2,-33.3,-37.4,-49.3,-33.3,-7.2
149,305700,A042500,2017KW01,-28.8,-23.1,0.0,-2.7,-4.7,1.8,-8.5,-61.1,-44.8,2.7,-8.5
150,305700,A042500,2017KW02,-28.5,3.6,-27.4,-2.5,15.7,19.5,-8.0,-48.9,-40.4,-2.9,-27.5
151,305700,A042500,2017KW03,-3.7,-10.7,7.8,17.3,12.1,12.9,5.4,-47.0,-20.5,-25.2,-5.9
152,305700,A042500,2017KW04,-27.4,-42.5,-22.6,-42.0,-2.8,-10.0,16.6,-27.4,-21.3,-1.0,-1.6
153,305700,A042500,2018KW01,-42.7,-1.0,-52.1,-3.6,-16.5,-12.0,42.8,-40.7,-14.7,10.1,-3.8
154,305700,A042500,2018KW02,5.4,-27.8,31.6,-27.9,-6.5,-13.3,-10.5,-50.9,-35.3,9.2,-59.6
155,305700,A042500,2018KW03,-25.2,-38.6,-38.4,-40.0,-3.1,-11.6,17.9,-43.5,-43.2,-6.5,13.6
156,305700,A042500,2018KW04,-38.8,9.8,-28.9,27.4,-15.6,1.1,8.0,-41.1,-25.9,-22.4,-59.8
157,305700,A042500,2019KW01,10.0,-4.7,20.7,3.0,-0.7,-23.5,31.0,-30.7,-29.2,30.0,44.5
158,305700,A042500,2019KW02,23.8,-3.9,43.5,-5.4,24.0,15.2,13.2,-21.1,15.2,10.5,49.7
159,305700,A042500,2019KW03,-5.7,30.0,-1.8,33.7,33.4,23.1,-3.9,-25.9,20.1,14.7,-4.5
160,305700,A042500,2019KW04,4.3,16.2,14.3,21.7,9.1,3.5,25.0,10.2,8.9,-15.8,-50.9
161,305700,A042500,2020KW01,-4.5,-18.7,23.0,-14.2,-8.0,-17.2,19.3,1.6,4.3,0.8,19.9
162,305700,A042500,2020KW02,-31.2,-66.5,-59.7,-69.0,-18.0,-49.6,7.8,-8.5,-28.5,-33.0,-49.5
163,305700,A042500,2020KW03,-44.0,9.5,-59.7,8.5,-42.7,6.9,3.6,-21.4,-52.3,-55.3,-55.0
164,305700,A042500,2020KW04,0.7,35.4,-1.7,9.5,-4.2,-5.6,20.8,-54.5,-39.9,-51.7,-44.0
165,305700,A042500,2021KW01,20.7,-20.2,22.2,3.1,-6.8,-3.7,23.5,-48.4,-25.0,-5.9,9.0
166,305700,A042500,2021KW02,-3.6,6.3,21.9,-1.9,7.8,2.7,19.8,-28.9,-21.4,-3.2,21.4
167,305700,A042500,2021KW03,14.4,20.1,65.0,8.2,27.5,24.3,23.0,-34.6,-15.2,30.3,1.8
168,305700,A042500,2021KW04,13.2,44.8,49.2,45.4,23.2,28.1,38.2,-14.1,0.9,25.8,25.8
169,305700,A042500,2022KW01,47.3,-15.1,47.0,-15.8,30.8,-7.2,12.8,-20.2,-11.2,24.7,34.9
170,305700,A042500,2022KW02,-36.8,-7.3,-10.4,57.5,-0.3,7.7,56.8,-9.3,-6.4,-0.3,12.0
171,305700,A042500,2022KW03,3.4,4.2,44.9,-3.9,8.8,2.8,30.4,-2.6,-18.5,0.7,15.7
172,305700,A042500,2022KW04,-20.5,-33.2,-1.4,-17.3,23.1,21.4,-5.2,-15.6,15.0,-14.6,6.5
