ID,KenmerkenGebruikers,Cijfersoort,Perioden,HasjOfMarihuana_1,Cocaine_2,Amfetaminen_3,Ecstasy_4,Heroine_5,PrestatieverbeterendeMiddelen_6,LSD_7,HasjOfMarihuana_8,Cocaine_9,Amfetaminen_10,Ecstasy_11,Heroine_12,PrestatieverbeterendeMiddelen_13,LSD_14
103,111,2,2008JJ00,24.7,4.0,2.6,6.2,0.3,1.7,1.3,3.1,0.4,0.1,0.3,0.0,,0.0
104,111,2,2009JJ00,23.7,4.2,2.6,5.5,0.3,1.7,0.9,3.5,0.6,0.3,0.3,0.0,,0.0
105,111,3,2007JJ00,27.1,5.3,3.3,7.0,0.9,2.1,2.3,5.1,1.0,0.5,0.9,0.0,,0.0
106,111,3,2008JJ00,28.6,6.1,4.2,8.6,1.1,3.1,2.5,4.8,1.2,0.8,1.1,0.4,,0.0
107,111,3,2009JJ00,27.6,6.1,4.2,7.8,1.0,3.1,2.0,5.3,1.5,1.0,1.0,0.5,,0.5
108,112,1,2007JJ00,31.4,4.6,2.9,6.4,0.3,1.1,2.0,2.5,0.1,0.1,0.5,0.0,,0.0
109,112,1,2008JJ00,32.4,4.7,2.8,5.3,0.3,1.1,1.4,2.8,0.2,0.2,0.7,0.0,,0.0
110,112,1,2009JJ00,32.7,5.2,2.9,7.2,0.3,0.7,1.6,3.0,0.1,0.0,0.3,0.0,,0.0
111,112,2,2007JJ00,28.9,3.5,2.1,5.1,0.1,0.6,1.3,1.7,0.0,0.0,0.2,0.0,,0.0
112,112,2,2008JJ00,29.9,3.6,2.0,4.2,0.1,0.7,0.9,2.0,0.1,0.0,0.3,0.0,,0.0
113,112,2,2009JJ00,30.3,4.1,2.2,5.9,0.1,0.3,1.0,2.2,0.0,0.0,0.1,0.0,,0.0
114,112,3,2007JJ00,34.1,6.0,4.1,8.0,0.9,1.9,3.1,3.7,0.5,0.4,1.1,0.0,,0.0
115,112,3,2008JJ00,34.9,6.0,3.9,6.8,0.8,1.8,2.2,3.9,0.6,0.6,1.4,0.0,,0.0
116,112,3,2009JJ00,35.2,6.5,4.0,8.8,0.9,1.3,2.5,4.2,0.7,0.0,0.7,0.0,,0.0
117,113,1,2007JJ00,36.1,8.7,4.1,9.0,0.8,1.7,2.8,8.2,0.5,0.0,1.0,0.2,,0.0
118,113,1,2008JJ00,37.6,8.0,3.9,9.3,0.7,1.6,2.1,5.4,0.6,0.3,1.2,0.0,,0.0
119,113,1,2009JJ00,38.7,8.9,4.1,10.3,0.4,1.8,2.7,8.2,1.0,0.2,1.0,0.0,,0.0
