ID,Huishoudkenmerken,Perioden,ToegangTotPC_1,Desktop_2,Laptop_3,WelToegangInternet_4,GeenToegangInternet_5,EldersInternetten_6,WilNietGeenInteresse_7,FinancieleRedenen_8,OnvoldoendeKennisFysiekeBeperking_9,PrivacyEnVeiligheid_10,AndereReden_11,TotaalGeenBreedband_12,AnaloogModem_13,ISDN_14,MobieleTelefoonWAPGPRS_15,TotaalBreedband_16,ADSL_17,Kabel_18,TotaalGeenBreedband_19,AnaloogModem_20,ISDN_21,MobieleTelefoonWAPGPRS_22,TotaalBreedband_23,ADSL_24,Kabel_25,PersonalComputer_26,PCDesktop_27,Laptop_28,MobieleTelefoon_29,AndereApparatuur_30,PersonalComputer_31,PCDesktop_32,Laptop_33,MobieleTelefoon_34,AndereApparatuur_35
98,21760,2013JJ00,98.0,76.0,84.0,99.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,,,,90.0,,,9.0,,,,91.0,,,98.0,74.0,84.0,76.0,73.0,100.0,76.0,85.0,78.0,74.0
99,14800,2005JJ00,88.0,83.0,35.0,84.0,16.0,2.0,9.0,1.0,2.0,0.0,4.0,27.0,21.0,7.0,2.0,57.0,37.0,22.0,32.0,25.0,8.0,2.0,68.0,44.0,27.0,84.0,79.0,24.0,10.0,4.0,100.0,94.0,28.0,11.0,5.0
100,14800,2006JJ00,91.0,84.0,39.0,87.0,13.0,1.0,8.0,1.0,2.0,0.0,2.0,15.0,9.0,5.0,2.0,72.0,49.0,25.0,17.0,11.0,6.0,2.0,83.0,56.0,28.0,87.0,80.0,29.0,12.0,5.0,100.0,92.0,34.0,13.0,6.0
101,14800,2007JJ00,91.0,84.0,46.0,89.0,11.0,1.0,8.0,1.0,2.0,1.0,2.0,10.0,5.0,4.0,1.0,79.0,56.0,26.0,11.0,6.0,5.0,1.0,89.0,63.0,29.0,89.0,80.0,40.0,17.0,11.0,100.0,90.0,45.0,19.0,12.0
102,14800,2008JJ00,91.0,81.0,56.0,91.0,9.0,1.0,6.0,1.0,2.0,0.0,1.0,12.0,5.0,7.0,1.0,78.0,49.0,32.0,14.0,5.0,8.0,1.0,86.0,55.0,35.0,90.0,78.0,51.0,21.0,13.0,99.0,86.0,56.0,23.0,15.0
103,14800,2009JJ00,95.0,82.0,64.0,94.0,6.0,0.0,5.0,1.0,1.0,0.0,1.0,14.0,4.0,6.0,1.0,80.0,57.0,29.0,15.0,4.0,7.0,1.0,85.0,61.0,32.0,93.0,79.0,60.0,27.0,22.0,100.0,84.0,64.0,29.0,24.0
104,14800,2010JJ00,95.0,78.0,71.0,94.0,6.0,1.0,4.0,0.0,1.0,0.0,0.0,7.0,2.0,3.0,2.0,87.0,59.0,32.0,8.0,2.0,3.0,2.0,92.0,63.0,34.0,94.0,76.0,68.0,35.0,25.0,100.0,81.0,72.0,37.0,27.0
105,14800,2011JJ00,96.0,78.0,77.0,96.0,4.0,0.0,3.0,0.0,1.0,0.0,1.0,10.0,,,,85.0,,,10.0,,,,89.0,,,95.0,75.0,75.0,50.0,31.0,99.0,78.0,78.0,52.0,33.0
106,14800,2012JJ00,97.0,77.0,80.0,97.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,12.0,,,,85.0,,,13.0,,,,87.0,,,96.0,73.0,79.0,60.0,38.0,99.0,76.0,82.0,62.0,39.0
107,14800,2013JJ00,97.0,71.0,80.0,97.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,9.0,,,,89.0,,,9.0,,,,91.0,,,96.0,70.0,79.0,70.0,64.0,99.0,71.0,81.0,72.0,65.0
108,14850,2005JJ00,76.0,70.0,23.0,70.0,30.0,3.0,17.0,6.0,3.0,0.0,6.0,21.0,17.0,4.0,3.0,49.0,30.0,20.0,30.0,24.0,5.0,4.0,70.0,43.0,29.0,69.0,64.0,17.0,10.0,3.0,100.0,92.0,24.0,14.0,4.0
109,14850,2006JJ00,73.0,66.0,29.0,69.0,31.0,4.0,19.0,4.0,5.0,1.0,4.0,13.0,10.0,2.0,1.0,55.0,35.0,22.0,20.0,14.0,4.0,2.0,80.0,51.0,32.0,68.0,60.0,21.0,9.0,4.0,100.0,87.0,30.0,13.0,5.0
