ID,Geslacht,Leeftijd,ZorgvormZvwZorgkosten,Perioden,PersonenMetZvwZorgkostenRelatief_1,GemiddeldeZorgkostenAllePersonen_2,GemiddeldeZorgkostenGebruikers_3,Zorgkosten50ePercentielGebruikers_4,Zorgkosten95ePercentielGebruikers_5,Zorgkosten99ePercentielGebruikers_6
179,T001038,70501  ,A042749,2023JJ00,6.3,155.0,2455.0,2176.0,5599.0,8089.0
180,T001038,70501  ,A042750,2020JJ00,3.3,12.0,364.0,154.0,1599.0,3031.0
181,T001038,70501  ,A042750,2021JJ00,4.0,17.0,435.0,177.0,1873.0,3343.0
182,T001038,70501  ,A042750,2022JJ00,4.2,19.0,455.0,192.0,1899.0,3382.0
183,T001038,70501  ,A042750,2023JJ00,4.1,20.0,491.0,205.0,2046.0,3663.0
184,T001038,70501  ,A042751,2020JJ00,6.7,34.0,513.0,103.0,2538.0,6171.0
185,T001038,70501  ,A042751,2021JJ00,7.0,38.0,551.0,103.0,2683.0,7281.0
186,T001038,70501  ,A042751,2022JJ00,6.9,39.0,577.0,100.0,2882.0,7323.0
187,T001038,70501  ,A042751,2023JJ00,7.0,42.0,610.0,102.0,3217.0,7586.0
188,T001038,70501  ,A042752,2020JJ00,1.5,15.0,1021.0,779.0,2284.0,5647.0
189,T001038,70501  ,A042752,2021JJ00,1.6,18.0,1077.0,810.0,2428.0,6142.0
190,T001038,70501  ,A042752,2022JJ00,1.7,18.0,1097.0,829.0,2435.0,6045.0
191,T001038,70501  ,A042752,2023JJ00,1.6,19.0,1197.0,893.0,2704.0,6804.0
192,T001038,70501  ,A042753,2020JJ00,0.8,7.0,893.0,162.0,4293.0,10979.0
193,T001038,70501  ,A042753,2021JJ00,0.9,8.0,915.0,150.0,4345.0,11413.0
194,T001038,70501  ,A042753,2022JJ00,1.4,12.0,814.0,163.0,3683.0,10992.0
195,T001038,70501  ,A042753,2023JJ00,1.3,11.0,840.0,179.0,3793.0,11546.0
196,T001038,70501  ,A042756,2020JJ00,0.0,0.0,,,,
197,T001038,70501  ,A042756,2021JJ00,0.0,0.0,,,,
198,T001038,70501  ,A042756,2022JJ00,0.0,0.0,,,,
199,T001038,70501  ,A042756,2023JJ00,0.0,0.0,,,,
200,T001038,70501  ,A052781,2020JJ00,,,,,,
201,T001038,70501  ,A052781,2021JJ00,,,,,,
202,T001038,70501  ,A052781,2022JJ00,9.5,469.0,4806.0,1867.0,16122.0,54732.0
203,T001038,70501  ,A052781,2023JJ00,10.1,516.0,5048.0,1998.0,16837.0,57503.0
