ID,Bestemming,Perioden,WaardeInWerkelijkePrijzen_1,WaardePrijsniveau2005_2,VolumemutatieTOVVoorafgaandJaar_3,Prijsindexcijfers_4
508,307610,1993JJ00,1502.0,1565.0,-5.5,96.0
509,307610,1994JJ00,1390.0,1444.0,-7.7,96.3
510,307610,1995JJ00,1331.0,1378.0,-4.5,96.6
511,307610,1996JJ00,1472.0,1539.0,11.6,95.7
512,307610,1997JJ00,1560.0,1646.0,7.0,94.8
513,307610,1998JJ00,1458.0,1541.0,-6.4,94.6
514,307610,1999JJ00,1584.0,1668.0,8.2,95.0
515,307610,2000JJ00,1602.0,1666.0,-0.1,96.2
516,307610,2001JJ00,1611.0,1657.0,-0.5,97.2
517,307610,2002JJ00,1660.0,1687.0,1.8,98.4
518,307610,2003JJ00,1650.0,1690.0,0.2,97.6
519,307610,2004JJ00,1638.0,1659.0,-1.8,98.7
520,307610,2005JJ00,1780.0,1780.0,7.3,100.0
