ID,Leeftijd,Perioden,TotaalBevolking_1,Mannen_2,Vrouwen_3
4281, 86,2030JJ00,82802,35146,47657
4282, 86,2031JJ00,87698,37237,50461
4283, 86,2032JJ00,84169,35892,48277
4284, 86,2033JJ00,117684,50615,67069
4285, 86,2034JJ00,114356,49031,65325
4286, 86,2035JJ00,108744,47002,61742
4287, 86,2036JJ00,105844,45755,60089
4288, 86,2037JJ00,104522,45178,59344
4289, 86,2038JJ00,104378,45226,59152
4290, 86,2039JJ00,108180,46901,61278
4291, 86,2040JJ00,108150,46847,61303
4292, 86,2041JJ00,109877,47709,62168
4293, 86,2042JJ00,111709,48257,63451
4294, 86,2043JJ00,114518,49815,64702
4295, 86,2044JJ00,116838,50769,66069
4296, 86,2045JJ00,119410,51994,67417
4297, 86,2046JJ00,122936,53539,69397
4298, 86,2047JJ00,123950,54117,69833
4299, 86,2048JJ00,128014,55844,72170
4300, 86,2049JJ00,129340,56518,72822
4301, 86,2050JJ00,131998,58011,73987
4302, 86,2051JJ00,134351,59061,75290
4303, 86,2052JJ00,132476,58378,74098
4304, 86,2053JJ00,131005,57658,73347
4305, 86,2054JJ00,130889,57651,73237
4306, 86,2055JJ00,132395,58176,74219
4307, 86,2056JJ00,138732,61093,77639
4308, 86,2057JJ00,136070,59808,76262
4309, 86,2058JJ00,131231,57723,73508
4310, 86,2059JJ00,125871,55020,70852
4311, 86,2060JJ00,117174,51364,65809
4312, 87,2012JJ00,43177,13477,29700
4313, 87,2013JJ00,43568,14186,29382
4314, 87,2014JJ00,44588,14905,29683
4315, 87,2015JJ00,44993,15436,29557
4316, 87,2016JJ00,47314,16342,30972
4317, 87,2017JJ00,48185,16979,31206
4318, 87,2018JJ00,50993,18290,32703
4319, 87,2019JJ00,51243,18726,32517
4320, 87,2020JJ00,52932,19564,33368
4321, 87,2021JJ00,52376,19689,32687
4322, 87,2022JJ00,54188,20650,33538
4323, 87,2023JJ00,55305,21416,33889
4324, 87,2024JJ00,57249,22467,34782
4325, 87,2025JJ00,58116,22999,35117
4326, 87,2026JJ00,62298,24995,37303
4327, 87,2027JJ00,64304,25908,38397
4328, 87,2028JJ00,67126,27388,39738
4329, 87,2029JJ00,65932,27220,38712
4330, 87,2030JJ00,69593,28933,40660
4331, 87,2031JJ00,75660,31631,44030
4332, 87,2032JJ00,80198,33548,46649
4333, 87,2033JJ00,77027,32368,44659
4334, 87,2034JJ00,107780,45696,62084
4335, 87,2035JJ00,104816,44308,60507
4336, 87,2036JJ00,99742,42515,57226
4337, 87,2037JJ00,97160,41429,55732
4338, 87,2038JJ00,96025,40946,55079
4339, 87,2039JJ00,95971,41030,54940
4340, 87,2040JJ00,99550,42595,56956
4341, 87,2041JJ00,99606,42586,57019
4342, 87,2042JJ00,101279,43413,57866
4343, 87,2043JJ00,103060,43955,59104
4344, 87,2044JJ00,105731,45418,60313
4345, 87,2045JJ00,107964,46332,61632
4346, 87,2046JJ00,110430,47495,62935
4347, 87,2047JJ00,113780,48951,64830
4348, 87,2048JJ00,114807,49524,65283
4349, 87,2049JJ00,118667,51150,67516
4350, 87,2050JJ00,119986,51813,68173
4351, 87,2051JJ00,122539,53227,69312
4352, 87,2052JJ00,124816,54236,70581
4353, 87,2053JJ00,123164,53653,69510
4354, 87,2054JJ00,121887,53035,68852
