ID,IndicatieWelNietJeugdwet,RegioS,Perioden,JongerenMetAWBZIndicatieInJaar_1
573,1000,GM0209,2012JJ00,120.0
574,1000,GM0209,2013JJ00,120.0
575,1000,GM0209,2014JJ00,115.0
576,1000,GM0375,2011JJ00,190.0
577,1000,GM0375,2012JJ00,165.0
578,1000,GM0375,2013JJ00,145.0
579,1000,GM0375,2014JJ00,140.0
580,1000,GM0063,2011JJ00,85.0
581,1000,GM0063,2012JJ00,85.0
582,1000,GM0063,2013JJ00,85.0
583,1000,GM0063,2014JJ00,85.0
584,1000,GM0310,2011JJ00,170.0
585,1000,GM0310,2012JJ00,155.0
586,1000,GM0310,2013JJ00,140.0
587,1000,GM0310,2014JJ00,125.0
588,1000,GM0585,2011JJ00,130.0
589,1000,GM0585,2012JJ00,95.0
590,1000,GM0585,2013JJ00,80.0
591,1000,GM0585,2014JJ00,90.0
592,1000,GM1728,2011JJ00,135.0
593,1000,GM1728,2012JJ00,110.0
594,1000,GM1728,2013JJ00,95.0
595,1000,GM1728,2014JJ00,85.0
596,1000,GM0376,2011JJ00,50.0
597,1000,GM0376,2012JJ00,45.0
598,1000,GM0376,2013JJ00,40.0
599,1000,GM0376,2014JJ00,35.0
600,1000,GM0377,2011JJ00,70.0
601,1000,GM0377,2012JJ00,60.0
602,1000,GM0377,2013JJ00,50.0
603,1000,GM0377,2014JJ00,45.0
604,1000,GM0055,2011JJ00,120.0
605,1000,GM0055,2012JJ00,110.0
606,1000,GM0055,2013JJ00,100.0
607,1000,GM0055,2014JJ00,
608,1000,GM1901,2011JJ00,205.0
609,1000,GM1901,2012JJ00,190.0
610,1000,GM1901,2013JJ00,175.0
611,1000,GM1901,2014JJ00,170.0
612,1000,GM0755,2011JJ00,75.0
613,1000,GM0755,2012JJ00,65.0
