ID,Zorgaanbieders,FinancieringsvormenZorg,Perioden,UitgavenAanGezondheidszorgIngezetenen_1
591,A052796,A019163,2024JJ00,78.0
592,A052796,A019164,2021JJ00,32.0
593,A052796,A019164,2022JJ00,34.0
594,A052796,A019164,2023JJ00,37.0
595,A052796,A019164,2024JJ00,39.0
596,A052796,A019165,2021JJ00,40.0
597,A052796,A019165,2022JJ00,38.0
598,A052796,A019165,2023JJ00,38.0
599,A052796,A019165,2024JJ00,39.0
600,A052797,A019149,2021JJ00,3073.0
601,A052797,A019149,2022JJ00,3119.0
602,A052797,A019149,2023JJ00,3351.0
603,A052797,A019149,2024JJ00,3464.0
604,A052797,A019150,2021JJ00,717.0
605,A052797,A019150,2022JJ00,744.0
606,A052797,A019150,2023JJ00,840.0
607,A052797,A019150,2024JJ00,902.0
608,A052797,A019151,2021JJ00,5.0
609,A052797,A019151,2022JJ00,0.0
610,A052797,A019151,2023JJ00,0.0
611,A052797,A019151,2024JJ00,0.0
612,A052797,A019152,2021JJ00,712.0
613,A052797,A019152,2022JJ00,744.0
614,A052797,A019152,2023JJ00,840.0
615,A052797,A019152,2024JJ00,902.0
616,A052797,A019154,2021JJ00,95.0
617,A052797,A019154,2022JJ00,103.0
618,A052797,A019154,2023JJ00,121.0
619,A052797,A019154,2024JJ00,129.0
620,A052797,A019155,2021JJ00,
621,A052797,A019155,2022JJ00,
622,A052797,A019155,2023JJ00,
623,A052797,A019155,2024JJ00,
624,A052797,A019156,2021JJ00,617.0
625,A052797,A019156,2022JJ00,641.0
626,A052797,A019156,2023JJ00,719.0
627,A052797,A019156,2024JJ00,773.0
628,A052797,A041720,2021JJ00,2356.0
629,A052797,A041720,2022JJ00,2375.0
630,A052797,A041720,2023JJ00,2511.0
631,A052797,A041720,2024JJ00,2562.0
632,A052797,A019157,2021JJ00,1683.0
633,A052797,A019157,2022JJ00,1680.0
634,A052797,A019157,2023JJ00,1757.0
635,A052797,A019157,2024JJ00,1761.0
636,A052797,A019158,2021JJ00,1683.0
637,A052797,A019158,2022JJ00,1680.0
638,A052797,A019158,2023JJ00,1757.0
639,A052797,A019158,2024JJ00,1761.0
